City_ID!,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Tazmalt,DZ,2023-01-08 18:33:32,36.3868,4.3989,12.65,50,93,2.76
251,Anloga,GH,2023-01-08 18:33:33,5.7947,0.8973,27.22,81,58,5.43
252,Zuenoula,CI,2023-01-08 18:33:33,7.4292,-6.0431,28.27,22,6,0.99
253,Nusaybin,TR,2023-01-08 18:33:33,37.0778,41.2178,4.77,87,75,4.12
254,Nikolsk,RU,2023-01-08 18:33:34,53.7189,46.0712,-27.37,100,94,1.97
255,Sagua La Grande,CU,2023-01-08 18:33:34,22.8067,-80.0756,27.55,58,51,5.97
256,Ginir,ET,2023-01-08 18:33:35,7.1333,40.7,15.26,47,6,1.29
257,Bandarbeyla,SO,2023-01-08 18:33:35,9.4942,50.8122,24.59,77,13,7.18
258,Kalpi,IN,2023-01-08 18:33:36,26.1167,79.7333,10.63,39,0,1.23
259,Jasper,US,2023-01-08 18:33:36,37.2001,-94.3502,6.05,76,40,0.45
260,Surt,LY,2023-01-08 18:33:36,31.2089,16.5887,16.96,66,4,4.93
261,Kuusamo,FI,2023-01-08 18:33:37,65.9667,29.1833,-13.98,78,0,8.23
262,Molo,KE,2023-01-08 18:33:37,-0.2479,35.7374,11.52,86,51,2.13
263,Bathsheba,BB,2023-01-08 18:33:38,13.2167,-59.5167,28.34,74,40,7.72
264,Ormara,PK,2023-01-08 18:33:38,25.2088,64.6357,21.83,70,5,3.92
265,Zavyalovo,RU,2023-01-08 18:33:38,54.5053,82.4484,2.4,77,100,12.14
266,Castellammare Del Golfo,IT,2023-01-08 18:33:39,38.0188,12.8858,13.62,89,12,3.16
267,Kidal,ML,2023-01-08 18:33:39,18.4411,1.4078,24.27,11,100,4.47
268,Talnakh,RU,2023-01-08 18:33:14,69.4865,88.3972,-32.11,97,100,4.53
269,Capreol,CA,2023-01-08 18:33:40,46.706,-80.9225,-4.14,93,100,5.66
270,Grand Gaube,MU,2023-01-08 18:33:40,-20.0064,57.6608,26.32,71,5,2.68
271,Ishim,RU,2023-01-08 18:32:12,56.1128,69.4902,-25.14,95,100,5.31
272,Juba,SS,2023-01-08 18:33:41,4.8517,31.5825,28.08,27,14,2.19
