,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Jalu,LY,29.0331,21.5482,18.6,53,89,7.16,overcast clouds
337,Tuatapere,NZ,-46.1333,167.6833,9.61,93,20,1.22,few clouds
338,Pimentel,PE,-6.8367,-79.9342,21.16,83,0,5.14,clear sky
339,Bikin,RU,46.8161,134.26,-19.49,92,70,2.62,broken clouds
340,Albina,SR,5.5,-54.05,28.82,60,91,3.22,overcast clouds
341,Rafai,CF,4.95,23.9167,34.34,16,23,1.58,few clouds
342,Acapulco,MX,16.8634,-99.8901,22.9,68,75,2.06,broken clouds
343,Tilichiki,RU,60.4667,166.1,-21.96,85,100,4.36,overcast clouds
344,Guerrero Negro,MX,27.9769,-114.0611,14.94,55,40,1.08,scattered clouds
345,Prince Rupert,CA,54.3161,-130.3201,5.83,92,100,3.09,overcast clouds
346,Bridlington,GB,54.0831,-0.1919,9.38,72,63,10.35,broken clouds
